CUST_ID,CUST_PRODUCT_CNT,CUST_DOLLER_FLAG,CUST_INTERNATIONAL_GOLD_FLAG,CUST_INTERNATIONAL_SIL_FLAG,CUST_INTERNATIONAL_DIAMOND_FLAG,CUST_STAD_PLATINUM_FLAG,TOP_CARD_LEVEL,CUST_VALUE_CLASS,DEP_SA_FGCR_ACCOUNT_CNT,FUND_FLAG,QSAB_FLAG,OCN,FINA_BUY_NOFIX_AVGCNT_zj,FINA_BUY_THREE_AVGAMT_zj,FINA_BUY_THREE_AVGCNT_zj,FINA_MONTH_AVG_BAL_AVG_zj
1000000015,10,1,0,0,1,0,0,4,7,1,0,4,0,0.0,0,0.0
1000000024,8,1,0,0,1,0,0,5,11,1,0,2,0,0.0,0,0.0
1000000033,10,1,0,0,1,0,0,6,5,1,0,4,-4,-2400000.0,-2,0.03219292
1000000066,0,0,0,0,0,0,6,1,4,1,0,2,0,0.0,0,0.0
1000000071,10,1,0,1,1,1,0,2,13,1,0,4,0,0.0,0,-0.010928962
1000000086,11,1,0,0,1,1,7,3,11,1,0,4,0,0.0,0,0.0
1000000090,7,1,0,0,1,0,0,3,3,1,0,4,0,0.0,0,0.0
1000000108,5,0,0,0,0,0,6,5,7,1,1,2,0,0.0,0,-0.010928962
1000000112,8,0,0,0,0,1,4,3,13,0,1,8,-2,0.0,0,0.010691373999999998
1000000122,9,0,0,0,0,1,3,5,2,0,1,3,-2,0.0,0,0.021620336
1000000139,12,1,1,0,1,0,7,3,4,1,0,4,0,0.0,0,0.0
1000000150,4,0,0,0,0,0,6,3,1,0,0,8,0,0.0,0,0.0
1000000188,0,0,0,0,0,0,7,2,0,0,0,0,0,0.0,0,0.0
1000000213,4,1,1,1,1,0,0,5,11,1,0,2,0,0.0,0,0.0
1000000222,10,1,0,0,1,1,0,4,4,1,1,1,-2,0.0,0,0.010810168
1000000239,0,1,0,1,0,0,7,1,3,0,0,2,0,0.0,0,0.0
1000000244,7,1,0,0,1,1,0,3,5,1,0,2,0,0.0,0,0.0
1000000252,10,1,0,1,0,1,7,3,5,1,0,8,0,0.0,0,0.0
1000000274,8,1,0,0,1,1,0,4,8,1,0,2,0,0.0,0,0.0
1000000282,2,1,0,1,0,0,2,1,2,0,0,2,0,0.0,0,0.0
1000000303,4,1,0,0,1,0,0,2,2,0,0,4,0,0.0,0,0.0
1000000330,0,0,0,0,0,0,6,1,0,0,0,3,0,0.0,0,0.0
1000000381,3,1,0,1,0,0,2,3,3,1,1,3,0,0.0,0,-0.010928962
1000000413,0,0,0,0,0,0,7,1,0,0,0,0,0,0.0,0,0.0
1000000456,1,1,1,0,0,0,1,0,2,0,0,3,0,0.0,0,0.0
1000000515,5,1,0,0,1,0,0,3,2,0,0,0,0,0.0,0,-0.011047756
1000000549,2,0,0,0,0,0,6,4,3,0,0,8,0,0.0,0,0.0
1000000610,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000000623,2,0,0,0,0,0,6,2,2,0,0,4,0,0.0,0,0.0
1000000731,5,1,0,1,0,0,2,3,10,1,1,3,-2,0.0,0,-0.032786886
1000000779,0,0,0,0,0,0,6,1,3,1,0,8,0,0.0,0,0.0
1000000857,8,0,0,0,0,0,6,3,0,0,0,8,0,0.0,0,0.0
1000001060,8,1,0,1,1,1,0,3,7,1,0,3,0,0.0,0,0.0
1000001079,6,0,0,0,0,0,6,3,1,1,1,4,-4,0.0,0,0.05393205
1000001112,6,1,1,0,0,0,1,3,2,0,0,1,0,0.0,0,0.0
1000001266,7,1,0,1,0,0,2,2,2,0,0,0,0,0.0,0,0.0
1000001282,12,1,0,1,0,1,2,5,4,1,1,1,-24,-1333333.333,-2,0.064267046
1000001345,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000001356,6,1,0,0,1,0,7,4,4,1,1,3,-6,0.0,0,0.08648135
1000001399,4,1,1,0,0,0,7,4,2,1,0,8,0,0.0,0,0.0
1000001435,6,1,0,1,0,0,2,2,0,0,0,0,0,0.0,0,0.0
1000001595,3,0,0,0,0,0,6,1,0,0,0,3,0,0.0,0,0.0
1000001634,7,1,1,0,0,0,7,2,2,0,0,8,0,0.0,0,0.0
1000001780,7,0,0,0,0,0,6,1,0,0,0,4,0,0.0,0,0.0
1000001834,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000001882,6,0,0,0,0,0,7,6,7,0,1,3,-2,0.0,0,0.010810168
1000001918,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000001946,9,1,0,1,1,1,0,4,5,0,0,2,0,0.0,0,0.010810168
1000001989,12,1,1,1,0,1,7,4,15,1,1,3,0,0.0,0,-0.054644808
1000002067,1,0,0,0,0,0,7,2,0,0,0,8,0,0.0,0,0.0
1000002187,9,1,0,0,1,0,0,5,2,1,1,3,-2,-800000.0,-2,0.021620336
1000002318,3,0,0,0,0,0,6,2,0,0,0,0,0,0.0,0,0.0
1000002484,7,1,0,0,1,0,0,6,2,0,1,0,-2,-7293333.333,-2,0.021620336
1000002708,5,1,1,0,1,1,0,2,13,1,0,2,0,0.0,0,0.0
1000002758,2,1,1,0,0,0,7,2,2,1,0,8,0,0.0,0,0.0
1000002833,2,0,0,0,0,0,6,4,0,0,0,0,0,0.0,0,0.0
1000002849,0,1,1,0,1,0,7,1,4,0,0,3,0,0.0,0,0.0
1000002854,13,1,0,0,1,1,7,3,7,1,0,3,0,-280000.0,-4,0.021382752
1000002878,1,0,0,0,0,0,7,1,5,0,0,0,0,0.0,0,0.0
1000003028,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0.0
1000003080,8,1,0,0,1,0,0,6,6,1,1,1,0,0.0,0,0.021620336
1000003155,2,0,0,0,0,0,7,2,0,0,0,0,0,0.0,0,0.0
1000003228,13,1,0,1,0,1,7,4,7,1,1,2,0,0.0,0,0.010810168
1000003231,14,1,1,0,0,1,1,3,5,1,1,0,-2,0.0,0,0.0
1000003255,11,1,1,0,1,1,7,5,7,1,1,3,0,-4433333.3330000015,-4,-0.01128534
1000003260,11,1,0,0,1,1,0,3,4,1,1,4,-2,-266666.6667,-2,0.0
1000003300,2,1,0,1,0,0,7,4,2,0,0,8,0,0.0,0,0.0
1000003313,13,1,0,0,1,1,0,5,17,1,1,2,-6,0.0,0,0.021382752
1000003353,7,1,0,0,1,0,0,6,4,1,0,3,0,0.0,0,0.0
1000003388,0,0,0,0,0,0,6,2,0,0,0,0,0,0.0,0,0.0
1000003400,4,1,0,0,1,0,0,5,3,0,0,3,0,0.0,0,0.0
1000003414,4,0,0,0,0,0,6,1,0,0,0,4,0,0.0,0,0.0
1000003470,0,0,0,0,0,0,6,0,0,0,0,4,0,0.0,0,0.0
1000003485,2,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000003515,0,0,0,0,0,0,7,1,0,0,0,0,0,0.0,0,0.0
1000003554,6,0,0,0,0,1,4,2,1,1,0,2,0,0.0,0,0.0
1000003736,0,0,0,0,0,0,7,4,0,0,0,0,0,0.0,0,0.0
1000003779,6,0,0,0,0,1,4,5,0,1,0,2,0,0.0,0,0.0
1000003852,2,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000003861,5,0,0,0,0,0,7,2,2,0,0,0,0,0.0,0,0.010810168
1000003895,7,1,0,0,1,0,0,6,2,0,1,0,-2,0.0,0,0.021620336
1000003925,6,0,0,0,0,0,6,3,0,0,1,0,0,0.0,0,-0.010928962
1000003986,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000004033,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000004197,2,0,0,0,0,0,6,2,0,0,0,0,0,0.0,0,0.0
1000004300,8,1,0,0,1,1,0,2,3,1,0,1,0,0.0,0,0.0
1000004314,3,1,0,0,1,0,0,2,2,0,0,0,0,0.0,0,0.0
1000004336,6,1,0,0,1,1,0,0,2,0,0,6,0,0.0,0,0.0
1000004371,6,1,1,0,1,0,7,5,4,0,0,3,0,0.0,0,0.0
1000004444,5,1,0,0,1,0,7,2,3,1,1,8,-2,0.0,0,0.010691373999999998
1000004507,2,0,0,0,0,0,6,3,1,0,0,0,0,0.0,0,0.0
1000004555,5,0,0,0,0,0,6,1,0,0,0,1,0,0.0,0,0.0
1000004746,7,0,0,0,0,1,7,2,1,0,0,4,0,0.0,0,0.0
1000004792,2,0,0,0,0,0,6,0,0,0,0,8,0,0.0,0,0.0
1000004801,11,1,0,0,1,1,7,4,12,1,0,4,0,0.0,0,0.0
1000004820,8,0,0,0,0,1,6,2,0,0,0,1,0,0.0,0,0.0
1000004876,3,1,0,1,0,0,2,1,2,0,0,3,0,0.0,0,0.0
1000005088,0,1,0,0,1,0,0,3,5,0,0,3,0,0.0,0,0.0
1000005182,0,0,0,0,0,0,7,1,0,0,0,0,0,0.0,0,0.0
1000005243,1,0,0,0,0,0,7,3,0,0,0,0,0,0.0,0,0.0
1000005265,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0.0
1000005316,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000005457,0,0,0,0,0,0,6,2,1,0,0,0,0,0.0,0,0.0
1000005481,5,0,0,0,0,0,6,3,0,0,0,0,0,0.0,0,0.043240674000000014
1000005529,3,1,0,0,1,0,0,3,2,0,0,8,0,0.0,0,0.0
1000005584,6,1,0,0,1,0,0,4,2,0,1,4,0,-1180000.0,-2,0.0
1000005653,12,1,1,0,1,1,0,5,16,1,1,8,0,0.0,0,0.010810168
1000005918,6,1,0,0,1,0,0,5,10,1,1,3,-16,-860000.0,-4,0.07483963
1000006129,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000006179,1,1,0,0,1,0,0,3,3,0,0,3,0,0.0,0,0.0
1000006185,5,0,0,0,0,1,6,1,1,0,0,1,0,0.0,0,0.0
1000006214,5,1,0,0,1,0,0,5,9,1,0,3,0,0.0,0,0.0
1000006230,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000006261,3,1,1,0,0,0,7,2,2,0,0,1,0,0.0,0,0.0
1000006407,4,1,0,1,0,0,2,5,3,0,1,3,-6,-1693333.333,-2,0.043003088
1000006434,4,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000006541,6,0,0,0,0,0,6,2,9,1,0,2,0,0.0,0,0.0
1000006652,2,1,0,0,1,0,7,1,2,0,0,0,0,0.0,0,0.0
1000006667,0,0,0,0,0,0,7,1,0,0,0,0,0,0.0,0,0.0
1000006707,7,1,0,1,1,0,0,3,4,1,0,3,0,0.0,0,0.0
1000006717,4,1,1,1,0,1,7,4,8,0,0,3,0,0.0,0,0.0
1000006753,6,0,0,0,0,0,6,4,1,1,1,0,0,0.0,0,-0.011166548
1000006818,1,1,0,0,1,0,7,1,3,0,0,8,0,0.0,0,0.0
1000006835,6,1,0,1,0,0,7,3,3,1,1,3,0,0.0,0,-0.021857924
1000006891,4,0,0,0,0,0,7,1,0,0,0,0,0,0.0,0,0.0
1000006918,2,0,0,0,0,0,6,2,0,0,0,0,0,0.0,0,0.0
1000006921,0,0,0,0,0,0,7,2,0,0,0,0,0,0.0,0,0.0
1000006968,1,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000007061,8,1,1,0,0,0,1,3,4,0,0,2,0,0.0,0,0.0
1000007086,6,1,1,0,1,0,7,4,0,1,1,3,0,0.0,0,0.021620336
1000007147,4,1,0,1,0,0,7,5,2,0,0,3,0,0.0,0,0.0
1000007157,7,1,1,0,0,1,1,3,2,0,1,4,0,-426666.6667,-2,0.0
1000007186,10,1,0,0,1,0,0,5,2,1,1,4,0,0.0,0,-0.032786886
1000007293,1,0,0,0,0,0,6,1,0,0,0,4,0,0.0,0,0.0
1000007388,10,0,0,0,0,1,7,3,1,1,0,2,0,0.0,0,0.0
1000007405,6,1,0,0,1,0,0,3,4,0,1,3,-2,-400000.0,-2,0.0
1000007442,4,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000007467,6,1,0,0,1,0,0,5,2,0,0,0,-16,0.0,0,0.06438584
1000007478,2,1,1,0,0,0,1,1,2,0,0,8,0,0.0,0,0.0
1000007651,5,1,0,0,1,0,7,6,6,0,1,3,-2,0.0,0,0.010810168
1000007792,3,0,0,0,0,0,7,1,0,0,0,3,0,0.0,0,0.0
1000007802,0,0,0,0,0,0,7,0,2,0,0,0,0,0.0,0,0.0
1000007858,5,1,0,1,0,0,2,3,2,0,0,8,0,-413333.3333,-2,0.010691373999999998
1000007958,5,0,0,0,0,0,6,3,0,0,1,8,0,0.0,0,0.010691373999999998
1000008078,4,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,-0.010928962
1000008125,1,0,0,0,0,0,6,1,0,1,0,0,0,0.0,0,0.0
1000008230,3,1,0,1,0,0,7,3,2,1,1,0,0,0.0,0,-0.021857924
